,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_1,InternetService_2,Contract_1,Contract_2,PaymentMethod_1,PaymentMethod_2,PaymentMethod_3
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,142,74,0,False,False,False,False,False,True,False
1,1,0,0,0,34,1,0,1,0,1,0,0,0,0,498,3624,0,False,False,True,False,False,False,True
2,1,0,0,0,2,1,0,1,1,0,0,0,0,1,436,536,1,False,False,False,False,False,False,True
3,1,0,0,0,45,0,0,1,0,1,1,0,0,0,266,3570,0,False,False,True,False,False,False,False
4,0,0,0,0,2,1,0,0,0,0,0,0,0,1,729,674,1,True,False,False,False,False,True,False
5,0,0,0,0,8,1,1,0,0,1,0,1,1,1,1274,2173,1,True,False,False,False,False,True,False
6,1,0,0,1,22,1,1,0,1,0,0,1,0,1,1075,3673,0,True,False,False,False,True,False,False
7,0,0,0,0,10,0,0,1,0,0,0,0,0,0,140,1145,0,False,False,False,False,False,False,True
8,0,0,1,0,28,1,1,0,0,1,1,1,1,1,1371,4384,1,True,False,False,False,False,True,False
9,1,0,0,1,62,1,0,1,1,0,0,0,0,0,482,4631,0,False,False,True,False,False,False,False
10,1,0,1,1,13,1,0,1,0,0,0,0,0,1,375,1775,0,False,False,False,False,False,False,True
11,1,0,0,0,16,1,0,0,0,0,0,0,0,0,8,1213,0,False,True,False,True,True,False,False
12,1,0,1,0,58,1,1,0,0,1,0,1,1,0,1288,5688,0,True,False,True,False,True,False,False
13,1,0,0,0,49,1,1,0,1,1,0,1,1,1,1349,5421,1,True,False,False,False,False,False,False
14,1,0,0,0,25,1,0,1,0,1,1,1,1,1,1385,4178,0,True,False,False,False,False,True,False
15,0,0,1,1,69,1,1,1,1,1,1,1,1,0,1519,6429,0,True,False,False,True,True,False,False
16,0,0,0,0,52,1,0,0,0,0,0,0,0,0,42,2496,0,False,True,True,False,False,False,True
17,1,0,0,1,71,1,1,1,0,1,0,1,1,0,1409,6309,0,True,False,False,True,False,False,False
18,0,0,1,1,10,1,0,0,0,1,1,0,0,0,463,1660,1,False,False,False,False,True,False,False
19,0,0,0,0,21,1,0,0,1,1,0,0,1,1,1094,3596,0,True,False,False,False,False,True,False
20,1,1,0,0,1,0,0,0,0,1,0,0,1,1,237,112,1,False,False,False,False,False,True,False
21,1,0,1,0,12,1,0,0,0,0,0,0,0,0,25,852,0,False,True,True,False,False,False,False
22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,32,25,1,False,True,False,False,False,False,True
23,0,0,1,0,58,1,1,0,1,0,1,0,0,1,541,4636,0,False,False,False,True,True,False,False
24,1,0,1,1,49,1,0,1,1,0,1,0,0,0,535,4330,0,False,False,False,False,True,False,False
25,0,0,0,0,30,1,0,1,1,0,0,0,0,1,465,3244,0,False,False,False,False,False,False,False
26,1,0,1,1,47,1,1,0,1,0,0,1,1,1,1268,5267,1,True,False,False,False,False,True,False
27,1,0,1,1,1,0,0,0,1,0,0,0,0,0,148,77,1,False,False,False,False,False,True,False
28,1,0,1,0,72,1,1,1,1,1,1,1,1,1,1098,5982,0,False,False,False,True,True,False,False
29,0,0,0,1,17,1,0,0,0,0,0,1,1,1,622,2609,1,False,False,False,False,False,False,True
30,0,1,1,0,71,1,1,1,1,1,1,0,0,1,1215,6125,0,True,False,False,True,True,False,False
31,1,1,1,0,2,1,0,0,0,1,0,1,1,1,1198,787,0,True,False,False,False,True,False,False
32,0,0,1,1,27,1,0,1,1,1,1,0,0,0,650,3609,0,False,False,True,False,False,False,True
